JUSTIN_VILLAGE_NAME,JID,VILLAGE_ALT_1,VILLAGE_ALT_2,VILLAGE_ALT_3,LGD_VILLAGE_CODE,SDC,SDN,DN,LGD_CODE,CENSUS_2011_CODE,CENSUS_2011_CODE2
Cudcem,357,,,,626815,05613,Satari,North Goa,626815,626815,0
Betalbatim,75,,,,626895,05616,Salcete,South Goa,626895,626895,0
Chandel,267,,,,626648,05609,Pernem,North Goa,626648,626648,0
Choraundem,393,,,,626773,05613,Satari,North Goa,626773,626773,0
Ponsuli,392,,,,626772,05613,Satari,North Goa,626772,626772,0
Chaifi,127,,,,626940,05617,Quepem,South Goa,626940,626940,0
Chicolna,64,,,,626880,05615,Mormugao,South Goa,626880,626880,0
Chimbel,283,Chimbel (CT),,,626730,05611,Tiswadi,North Goa,626730,626730,0
Chinchinim,63,Chinchinim (CT),,,626933,05616,Salcete,South Goa,626933,626933,0
Calem,181,,,,626988,05618,Sanguem,South Goa,626988,626988,0
Cotigao,19,,,,627028,05619,Canacona,South Goa,627028,627028,0
Darbandora,407,,,,626971,05931,Dharbandora,South Goa,626971,626971,0
Piliem,406,,,,626970,05931,Dharbandora,South Goa,626970,626970,0
Tivim,339,,,,626670,05610,Bardez,North Goa,626670,626670,0
Davorlim,88,Davorlim (CT),,,626928,05616,Salcete,South Goa,626928,626928,0
Derodem,37,,,,626779,05613,Satari,North Goa,626779,626779,0
Agonda,217,,,,627023,05619,Canacona,South Goa,627023,627023,0
Deussua,479,,,,626918,05616,Salcete,South Goa,626918,626918,0
Sirlim,480,,,,626915,05616,Salcete,South Goa,626915,626915,0
Damocem,262,,,,626831,05613,Satari,North Goa,626831,626831,0
Dargalim,111,,,,626653,05609,Pernem,North Goa,626653,626653,0
Duncolim,178,,,,626900,05616,Salcete,South Goa,626900,626900,0
Bicholim,417,Bicholim (M Cl),,,252075,05612,Bicholim,North Goa,,803244,0
Vichundrem,220,,,,627016,05618,Sanguem,South Goa,627016,627016,0
Dicarpale,70,,,,626909,05616,Salcete,South Goa,626909,626909,0
Surla,197,,,,626761,05612,Bicholim,North Goa,626761,626761,0
Dongor,44,,,,627009,05618,Sanguem,South Goa,627009,627009,0
Davem,324,,,,626801,05613,Satari,North Goa,626801,626801,0
Dongurli,229,,,,626992,05618,Sanguem,South Goa,626992,626992,0
Dongurli,331,,,,626782,05613,Satari,North Goa,626782,626782,0
Dramapur,130,,,,626908,05616,Salcete,South Goa,626908,626908,0
Dudal,135,,,,626995,05618,Sanguem,South Goa,626995,626995,0
Dumacem,159,,,,626742,05612,Bicholim,North Goa,626742,626742,0
Telaulim,237,,,,626857,05614,Ponda,South Goa,626857,626857,0
Fatorpa,46,,,,626950,05617,Quepem,South Goa,626950,626950,0
Varca,224,Varca (CT),,,626932,05616,Salcete,South Goa,626932,626932,0
Zarani,345,,,,626799,05613,Satari,North Goa,626799,626799,0
Gandaulim,90,,,,626896,05616,Salcete,South Goa,626896,626896,0
Gancim,253,,,,626721,05611,Tiswadi,North Goa,626721,626721,0
Gonsua,77,,,,626894,05616,Salcete,South Goa,626894,626894,0
Gaodongrem,20,,,,627025,05619,Canacona,South Goa,627025,627025,0
Govanem,251,,,,626837,05613,Satari,North Goa,626837,626837,0
Gonteli,332,,,,626768,05613,Satari,North Goa,626768,626768,0
Chandor,474,,,,626911,05616,Salcete,South Goa,626911,626911,0
Guirdolim,475,,,,626903,05616,Salcete,South Goa,626903,626903,0
Calata,204,,,,626891,05616,Salcete,South Goa,626891,626891,0
Guirim,376,Guirim (CT),,,626693,05610,Bardez,North Goa,626693,626693,0
Canca,377,,,,626677,05610,Bardez,North Goa,626677,626677,0
Bastora,378,,,,626678,05610,Bardez,North Goa,626678,626678,0
Goa Velha,249,Goa Velha (CT),,,626734,05611,Tiswadi,North Goa,626734,626734,0
Golauli,176,,,,626776,05613,Satari,North Goa,626776,626776,0
Goalim Moula,263,,,,626717,05611,Tiswadi,North Goa,626717,626717,0
Gocoldem,27,,,,626962,05617,Quepem,South Goa,626962,626962,0
Goltim,304,,,,626710,05611,Tiswadi,North Goa,626710,626710,0
Velim,199,,,,626921,05616,Salcete,South Goa,626921,626921,0
Conquirem,397,,,,626841,05613,Satari,North Goa,626841,626841,0
Gangem,396,,,,626852,05614,Ponda,South Goa,626852,626852,0
Carapur,348,Carapur (CT),Karapur,,626763,05612,Bicholim,North Goa,626763,626763,0
Siolim,516,Siolim (CT),,,626690,05610,Bardez,North Goa,626690,626690,0
Guleli,260,,,,626828,05613,Satari,North Goa,626828,626828,0
Gululem,336,,,,626784,05613,Satari,North Goa,626784,626784,0
Adcolna,276,,,,626847,05614,Ponda,South Goa,626847,626847,0
Aldona,153,Aldona (CT),,,626704,05610,Bardez,North Goa,626704,626704,0
Codiem,399,,,,626812,05613,Satari,North Goa,626812,626812,0
Ansolem,398,,,,626814,05613,Satari,North Goa,626814,626814,0
Satorem,326,,,,626805,05613,Satari,North Goa,626805,626805,0
Odar,509,,,,626937,05617,Quepem,South Goa,626937,626937,0
Onda,315,Onda (CT),,,626842,05613,Satari,North Goa,626842,626842,0
Ibrampur,112,,,,626650,05609,Pernem,North Goa,626650,626650,0
Dabolim,209,,,,626874,05615,Mormugao,South Goa,626874,626874,0
Issorcim,207,,,,626879,05615,Mormugao,South Goa,626879,626879,0
Ivrem-Buzruco,9,,,,626774,05613,Satari,North Goa,626774,626774,0
Ivrem-Curdo,175,,,,626775,05613,Satari,North Goa,626775,626775,0
Zormen,395,,,,626788,05613,Satari,North Goa,626788,626788,0
Dabem,394,,,,626789,05613,Satari,North Goa,626789,626789,0
Jua,95,Jua (CT),,,626727,05611,Tiswadi,North Goa,626727,626727,0
Borim,156,Borim (CT),,,626872,05614,Ponda,South Goa,626872,626872,0
Cotombi,225,,,,626938,05617,Quepem,South Goa,626938,626938,0
Calangute,307,Calangute (CT),,,626695,05610,Bardez,North Goa,626695,626695,0
Nirancal,318,,,,626861,05614,Ponda,South Goa,626861,626861,0
Calvim,380,,,,626685,05610,Bardez,North Goa,626685,626685,0
Ponolem,379,,,,626684,05610,Bardez,North Goa,626684,626684,0
Camarconda,79,,,,626982,05931,Dharbandora,South Goa,626982,626982,0
Moissal,93,,,,626983,05931,Dharbandora,South Goa,626983,626983,0
Camurlim,182,,,,626890,05616,Salcete,South Goa,626890,626890,0
Cana,134,,,,626904,05616,Salcete,South Goa,626904,626904,0
Candolim,295,Candolim (CT),,,626697,05610,Bardez,North Goa,626697,626697,0
Comproi,141,,,,626998,05618,Sanguem,South Goa,626998,626998,0
Cansaulim,186,,,,626883,05615,Mormugao,South Goa,626883,626883,0
Chaudi,402,,,,924816,05619,Canacona,South Goa,924816,803254,0
Nagorcem - Palolem,403,Nagercem,Nagorcem,,924820,05619,Canacona,South Goa,924820,803254,0
Bordem,418,,,,924814,05612,Bicholim,North Goa,924814,803244,0
Deao,202,,,,924817,05617,Quepem,South Goa,924817,803251,0
Taleigao,172,Taleigao (OG),Taleigao (OG) (Part),,645598,05611,Tiswadi,North Goa,645598,8032430036,0
Sodiem,515,Sudiem,,,626690,05610,Bardez,North Goa,912999,626690,0
Harvalem,327,,,,917385,05612,Bicholim,North Goa,917385,803245,0
Carambolim-Brama,14,Carambolim- Brama,,,626793,05613,Satari,North Goa,626793,626793,0
Carambolim-Buzruco,287,Carambolim-Bozruco,,,626821,05613,Satari,North Goa,626821,626821,0
Caranzol,189,,,,626976,05931,Dharbandora,South Goa,626976,626976,0
Caranzol,150,,,,626820,05613,Satari,North Goa,626820,626820,0
Corla,24,,,,626966,05617,Quepem,South Goa,626966,626966,0
Carambolim,277,,,,626718,05611,Tiswadi,North Goa,626718,626718,0
Carmona,60,,,,626917,05616,Salcete,South Goa,626917,626917,0
Latambarcem,341,,,,626744,05612,Bicholim,North Goa,626744,626744,0
Cansarvornem,40,,,,626651,05609,Pernem,North Goa,626651,626651,0
Costi,85,,,,626996,05618,Sanguem,South Goa,626996,626996,0
Ambelim,463,,,,626922,05616,Salcete,South Goa,626922,626922,0
Cavelossim,462,,,,626920,05616,Salcete,South Goa,626920,626920,0
Cavorim,142,,,,626910,05616,Salcete,South Goa,626910,626910,0
Quelaudem,155,,,,626771,05613,Satari,North Goa,626771,626771,0
Quelossim,212,,,,626876,05615,Mormugao,South Goa,626876,626876,0
Querim,281,,,,626850,05614,Ponda,South Goa,626850,626850,0
Vagurbem,254,,,,626851,05614,Ponda,South Goa,626851,626851,0
Candepar,243,,,,626853,05614,Ponda,South Goa,626853,626853,0
Candola,302,Candola (CT),,,626865,05614,Ponda,South Goa,626865,626865,0
Quedem,68,,,,626960,05617,Quepem,South Goa,626960,626960,0
Corjuem,334,,,,626683,05610,Bardez,North Goa,626683,626683,0
Cotorem,265,,,,626832,05613,Satari,North Goa,626832,626832,0
Quisconda,26,,,,626963,05617,Quepem,South Goa,626963,626963,0
Morpila,497,,,,626953,05617,Quepem,South Goa,626953,626953,0
Quitol,496,,,,626951,05617,Quepem,South Goa,626951,626951,0
Codal,333,,,,626780,05613,Satari,North Goa,626780,626780,0
Codvol,151,,,,626818,05613,Satari,North Goa,626818,626818,0
Codar,239,,,,626860,05614,Ponda,South Goa,626860,626860,0
Codli,187,,,,626981,05931,Dharbandora,South Goa,626981,626981,0
Cola,67,,,,627022,05619,Canacona,South Goa,627022,627022,0
Colomba,47,,,,627013,05617,Quepem,South Goa,627013,627013,0
Colem,188,,,,626977,05931,Dharbandora,South Goa,626977,626977,0
Colvale,385,Colvale (CT),,,626691,05610,Bardez,North Goa,626691,626691,0
Revora,386,,,,626664,05610,Bardez,North Goa,626664,626664,0
Colva,91,,,,626897,05616,Salcete,South Goa,626897,626897,0
Conxem,234,,,,626862,05614,Ponda,South Goa,626862,626862,0
Edorem,353,,,,626791,05613,Satari,North Goa,626791,626791,0
Compordem,354,,,,626790,05613,Satari,North Goa,626790,626790,0
Coranginim,87,,,,626997,05618,Sanguem,South Goa,626997,626997,0
Corgao,43,,,,626638,05609,Pernem,North Goa,626638,626638,0
Corlim,286,Corlim (CT),,,626729,05611,Tiswadi,North Goa,626729,626729,0
Cortalim,66,Cortalim (CT),,,626887,05615,Mormugao,South Goa,626887,626887,0
Cotombi,280,,,,626760,05612,Bicholim,North Goa,626760,626760,0
Cotarli,121,,,,627000,05618,Sanguem,South Goa,627000,627000,0
